image,color1,color2,color3,color4
1,柑橘黄橙色调,冷银灰色调,暖银白色调,
2,柑橘黄橙色调,暖金黄色调,,
3,秋叶橘/暖红色调,暖金黄色调,,
4,柑橘黄橙色调,,,
5,樱花柔粉色调,银白透明色调,,
6,银白透明色调,,,
7,翡翠青绿色调,暖金黄色调,,
8,暖银白色调,,,
9,薰衣草色调,,,
10,薰衣草色调,,,
11,暖金黄色调,,,
12,冷银灰色调,,,
13,樱花柔粉色调,枪黑烟熏色调,,
14,海天蓝色调,银白透明色调,,
15,暖金黄色调,暖银白色调,,
16,薰衣草色调,银白透明色调,,
17,海天蓝色调,,,
18,枪黑烟熏色调,柑橘黄橙色调,,
19,橄榄黄绿色调,,,
20,秋叶橘/暖红色调,,,
21,翡翠青绿色调,,,
22,翡翠青绿色调,银白透明色调,,
23,橄榄黄绿色调,暖金黄色调,,
24,橄榄黄绿色调,翡翠青绿色调,,
25,翡翠青绿色调,玫瑰红酒/冷红色调,,
26,柑橘黄橙色调,湖水蓝绿色调,,
27,橄榄黄绿色调,银白透明色调,,
28,玫瑰红酒/冷红色调,银白透明色调,,
29,枪黑烟熏色调,暖金黄色调,暖银白色调,
30,秋叶橘/暖红色调,橄榄黄绿色调,,
31,暖金黄色调,银白透明色调,,
32,橄榄黄绿色调,玫瑰红酒/冷红色调,,
33,暖金黄色调,暖银白色调,,
34,翡翠青绿色调,玫瑰红酒/冷红色调,枪黑烟熏色调,
35,暖金黄色调,海天蓝色调,,
36,蜜桃粉橘色调,樱花柔粉色调,,
37,海天蓝色调,冷银灰色调,,
38,海天蓝色调,暖金黄色调,,
39,翡翠青绿色调,暖金黄色调,,
40,暖金黄色调,柑橘黄橙色调,,
41,海天蓝色调,宝蓝紫色调,,
42,暖金黄色调,银白透明色调,,
43,海天蓝色调,暖金黄色调,,
44,翡翠青绿色调,橄榄黄绿色调,,
45,冷银灰色调,暖银白色调,,
46,宝蓝紫色调,银白透明色调,,
47,冷银灰色调,冷银灰色调,,
48,暖金黄色调,,,
49,冷银灰色调,,,
50,冷银灰色调,银白透明色调,,
51,银白透明色调,,,
52,樱花柔粉色调,冷银灰色调,,
53,橄榄黄绿色调,翡翠青绿色调,,
54,玫瑰红酒/冷红色调,,,
55,玫瑰红酒/冷红色调,暖金黄色调,,
56,枪黑烟熏色调,银白透明色调,,
57,橄榄黄绿色调,暖金黄色调,,
58,柑橘⻩橙⾊调,蜜桃粉橘色调,暖金黄色调,湖水蓝绿色调
59,玫瑰红酒/冷红⾊调,海天蓝⾊调,暖金黄色调,
60,玫瑰红酒/冷红⾊调,,冷银灰色调,暖金黄色调
61,玫瑰红酒/冷红⾊调,,银白透明色调,
62,暖⾦⻩⾊调,玫瑰红酒/冷红⾊调,,暖银白色调
63,暖⾦⻩⾊调,冷银灰色调,,
64,暖⾦⻩⾊调,银白透明色调,,
65,冷银灰色调,暖金黄色调,,
66,柑橘⻩橙⾊调,银白透明色调,,
67,暖⾦⻩⾊调,银白透明色调,,
68,暖⾦⻩⾊调,冷银灰色调,银白透明色调,
69,暖⾦⻩⾊调,暖银白色调,冷银灰色调,
70,暖⾦⻩⾊调,暖银白色调,,
71,海天蓝⾊调,,,
72,柑橘⻩橙⾊调,冷银灰色调,暖金黄色调,
73,柑橘⻩橙⾊调,银白透明色调,,
74,柑橘⻩橙⾊调,,,
75,暖银⽩⾊调,冷银灰色调,暖金黄色调,
76,暖⾦⻩⾊调,暖银⽩⾊调,,
77,暖银⽩⾊调,暖金黄色调,,
78,暖⾦⻩⾊调,暖银⽩⾊调,暖银白色调,
79,银⽩透明⾊调,冷银灰⾊调,,
80,银⽩透明⾊调,冷银灰⾊调,,
81,冷银灰⾊调,,,
82,暖银⽩⾊调,樱花柔粉⾊调,,
83,秋叶橘/暖红⾊调,枪⿊烟熏⾊调,海天蓝色调,暖金黄色调
84,柑橘⻩橙⾊调,暖金黄色调,,
85,柑橘⻩橙⾊调,湖⽔蓝绿⾊调,暖金黄色调,
86,海天蓝⾊调,湖⽔蓝绿⾊调,翡翠⻘绿⾊调,银白透明色调
87,秋叶橘/暖红⾊调,暖⾦⻩⾊调,暖银白色调,
88,薰⾐草⾊调,暖金黄色调,冷银灰色调,
89,薰⾐草⾊调,暖金黄色调,暖银白色调,
90,蜜桃粉橘⾊调,翡翠⻘绿⾊调,银白透明色调,
91,蜜桃粉橘⾊调,暖银白色调,银白透明色调,
92,海天蓝⾊调,樱花柔粉⾊调,暖金黄色调,
93,翡翠⻘绿⾊调,暖银白色调,暖金黄色调,银白透明色调
94,樱花柔粉⾊调,柑橘黄橙色调,,
95,秋叶橘/暖红⾊调,暖金黄色调,银白透明色调,枪黑烟熏色调
96,蜜桃粉橘⾊调,樱花柔粉⾊调,海天蓝色调,暖银白色调
97,宝蓝紫⾊调,枪⿊烟熏⾊调,,
98,橄榄⻩绿⾊调,海天蓝色调,暖银白色调,
99,橄榄⻩绿⾊调,玫瑰红酒/冷红⾊调,枪黑烟熏色调,
100,湖⽔蓝绿⾊调,玫瑰红酒/冷红⾊调,暖金黄色调,银白透明色调
101,橄榄⻩绿⾊调,樱花柔粉色调,暖金黄色调,
102,暖银⽩⾊调,蜜桃粉橘色调,,
103,蜜桃粉橘⾊调,暖银白色调,暖金黄色调,
104,蜜桃粉橘⾊调,樱花柔粉⾊调,暖银白色调,
105,樱花柔粉⾊调,蜜桃粉橘⾊调,,
106,枪⿊烟熏⾊调,银白透明色调,,
107,橄榄⻩绿⾊调,樱花柔粉色调,枪黑烟熏色调,
108,柑橘⻩橙⾊调,湖水蓝绿色调,翡翠青绿色调,
109,海天蓝⾊调,银白透明色调,,
110,湖⽔蓝绿⾊调,暖金黄色调,,
111,秋叶橘/暖红⾊调,暖金黄色调,冷银灰色调,
112,樱花柔粉⾊调,暖金黄色调,银白透明色调,冷银灰色调
113,樱花柔粉⾊调,,,
114,樱花柔粉⾊调,枪⿊烟熏⾊调,宝蓝紫色调,湖水蓝绿色调
115,秋叶橘/暖红⾊调,翡翠⻘绿⾊调,暖金黄色调,
116,蜜桃粉橘⾊调,暖银白色调,暖金黄色调,
